domain,block_type,reject_media,reject_reports,private_comment,public_comment,obfuscate
"beta.birdsite.live",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"birb.elfenban.de",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"bird.evilcyberhacker.net",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"bird.froth.zone",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"bird.istheguy.com",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"bird.nzbr.de",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"birdbots.leptonics.com",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"birdsite.b93.dece.space",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"birdsite.blazelights.dev",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"birdsite.frog.fashion",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"birdsite.gabeappleton.me",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"birdsite.james.moody.name",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"birdsite.lakedrops.com",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"birdsite.link",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"birdsite.monster	",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"birdsite.oliviaappleton.com",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"birdsite.slashdev.space",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"birdsitelive.treffler.cloud",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"birdsite.tcjc.uk",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"birdsite.thorlaksson.com",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"birdsite.toot.si",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"birdsite.wilde.cloud",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"birdsitelive.ffvo.dev",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"birdsitelive.peanutlasko.com	",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"bridge.birb.space",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"respublicae.eu",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"tweetbridge.kogasa.de",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"tweets.icu",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"twitter.activitypub.actor",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"twitterbridge.jannis.rocks",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"twtr.plus",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"zwezo.o-k-i.net",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE